epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,4130.92,0.44946,0.47379,0.43291,0.00631,1.1104,0.90912,0.90968,0.95663,0.88314,0.91011,0.90903,0.95683,0.88916,0.41912,0.51861,0.36888,0.00981,0,0.0012872,0.0012872,0.0012872
56,4205.27,0.4453,0.50663,0.4301,0.00623,1.16016,0.90583,0.93439,0.95955,0.8849,0.90752,0.93437,0.95998,0.89068,0.38372,0.44966,0.33756,0.00966,0,0.001274,0.001274,0.001274
57,4279.72,0.45021,0.49681,0.44357,0.00635,1.18377,0.90435,0.9204,0.95597,0.87554,0.90292,0.91864,0.95412,0.89211,0.43093,0.49962,0.35648,0.01098,0,0.0012608,0.0012608,0.0012608
58,4354.22,0.43788,0.48519,0.43115,0.00609,1.11019,0.9242,0.89246,0.95908,0.8721,0.9242,0.89246,0.95916,0.88974,0.42851,0.46513,0.3483,0.01108,0,0.0012476,0.0012476,0.0012476
59,4428.48,0.43724,0.48762,0.42606,0.00602,1.12329,0.92825,0.9217,0.96607,0.90292,0.93402,0.91748,0.96638,0.91514,0.37993,0.45005,0.2957,0.00929,0,0.0012344,0.0012344,0.0012344
60,4503.59,0.44543,0.499,0.43778,0.00625,1.15873,0.91857,0.93456,0.96562,0.90049,0.91767,0.936,0.96497,0.90952,0.38296,0.46812,0.29825,0.00961,0,0.0012212,0.0012212,0.0012212
61,4578.42,0.43401,0.48224,0.42175,0.00608,1.09704,0.89784,0.88661,0.94516,0.87132,0.89751,0.88629,0.94452,0.88067,0.42806,0.49813,0.44264,0.01102,0,0.001208,0.001208,0.001208
62,4652.86,0.43485,0.47869,0.43558,0.00601,1.09564,0.92381,0.90643,0.96551,0.89353,0.92416,0.90806,0.96209,0.89762,0.39427,0.46573,0.35417,0.00991,0,0.0011948,0.0011948,0.0011948
63,4727.59,0.43553,0.48848,0.4286,0.00604,1.09488,0.91257,0.88502,0.95243,0.8703,0.91131,0.88629,0.95194,0.87734,0.44649,0.54125,0.39004,0.01158,0,0.0011816,0.0011816,0.0011816
64,4801.91,0.43248,0.48867,0.42027,0.006,1.1286,0.91183,0.91722,0.96186,0.88601,0.91218,0.91783,0.96197,0.90416,0.39402,0.41404,0.35184,0.00992,0,0.0011684,0.0011684,0.0011684
65,4876.9,0.43759,0.48676,0.41751,0.00619,1.08922,0.91583,0.92258,0.9614,0.902,0.91621,0.9243,0.96151,0.90236,0.3624,0.49258,0.32892,0.00881,0,0.0011552,0.0011552,0.0011552
66,4951.15,0.42562,0.48587,0.41214,0.00587,1.07598,0.93771,0.9244,0.96872,0.91077,0.93768,0.92723,0.96924,0.92004,0.36051,0.51426,0.30439,0.00903,0,0.001142,0.001142,0.001142
67,5025.95,0.4341,0.48553,0.41598,0.00592,1.06904,0.93169,0.90839,0.9635,0.89573,0.92484,0.91547,0.96408,0.90634,0.39432,0.47863,0.32311,0.01038,0,0.0011288,0.0011288,0.0011288
68,5100.71,0.42227,0.4665,0.40464,0.00572,1.06417,0.9264,0.9178,0.96374,0.90467,0.92705,0.91845,0.96406,0.90715,0.36958,0.4569,0.3125,0.00892,0,0.0011156,0.0011156,0.0011156
69,5175.52,0.42724,0.47378,0.40449,0.00591,1.04044,0.93845,0.92634,0.96698,0.90056,0.93746,0.92536,0.9663,0.91408,0.37149,0.48636,0.29842,0.00966,0,0.0011024,0.0011024,0.0011024
70,5250.14,0.44034,0.47796,0.41699,0.00631,1.04302,0.91917,0.93096,0.96728,0.91513,0.92032,0.93177,0.9672,0.91671,0.33941,0.4629,0.29968,0.00833,0,0.0010892,0.0010892,0.0010892
71,5324.63,0.42103,0.47776,0.40163,0.00574,1.04222,0.94274,0.92542,0.96879,0.91754,0.94109,0.9238,0.96802,0.91871,0.3422,0.45333,0.28822,0.00814,0,0.001076,0.001076,0.001076
72,5399.3,0.41255,0.4564,0.39431,0.00566,1.03476,0.90913,0.92853,0.95749,0.89174,0.9083,0.92788,0.95816,0.90006,0.3732,0.43337,0.34294,0.0096,0,0.0010628,0.0010628,0.0010628
73,5474.17,0.41217,0.46176,0.39152,0.00561,1.01271,0.94009,0.92783,0.97486,0.91431,0.9412,0.92853,0.97445,0.91807,0.35105,0.42925,0.27786,0.00876,0,0.0010496,0.0010496,0.0010496
74,5548.51,0.41173,0.47929,0.40287,0.00565,1.03376,0.93277,0.93145,0.97057,0.91081,0.93245,0.93112,0.96948,0.91696,0.35609,0.42653,0.28374,0.00891,0,0.0010364,0.0010364,0.0010364
75,5623.14,0.42304,0.47504,0.40864,0.00577,1.04355,0.92471,0.94022,0.96882,0.90394,0.92454,0.93827,0.96839,0.91905,0.36422,0.42935,0.29336,0.0093,0,0.0010232,0.0010232,0.0010232
76,5697.83,0.41243,0.4625,0.40124,0.00554,1.06692,0.93027,0.9276,0.96753,0.91079,0.93032,0.92885,0.96739,0.91474,0.33808,0.39744,0.29329,0.00806,0,0.00101,0.00101,0.00101
77,5772.46,0.40771,0.46438,0.39521,0.00553,0.99759,0.92823,0.93279,0.96652,0.91577,0.92829,0.93405,0.96701,0.91395,0.32618,0.42751,0.29032,0.00784,0,0.0009968,0.0009968,0.0009968
78,5846.89,0.40753,0.46261,0.39276,0.00554,1.01125,0.93572,0.9347,0.96923,0.91423,0.93204,0.93827,0.96901,0.91791,0.33714,0.41061,0.28355,0.00836,0,0.0009836,0.0009836,0.0009836
79,5921.31,0.39676,0.45318,0.38241,0.0054,0.9538,0.94315,0.91813,0.96902,0.91217,0.94282,0.9178,0.96876,0.92311,0.35847,0.41172,0.29636,0.00867,0,0.0009704,0.0009704,0.0009704
80,5996.41,0.39833,0.45434,0.38317,0.00542,0.97175,0.94368,0.9321,0.97151,0.92783,0.94335,0.93177,0.97033,0.92539,0.32603,0.39974,0.26729,0.00784,0,0.0009572,0.0009572,0.0009572
81,6070.98,0.40231,0.45224,0.3816,0.0054,0.96656,0.94575,0.93372,0.97554,0.92291,0.94654,0.93184,0.9705,0.92281,0.32447,0.42656,0.26986,0.00785,0,0.000944,0.000944,0.000944
82,6145.41,0.413,0.4641,0.3893,0.00555,0.97175,0.93904,0.93762,0.97194,0.91757,0.93779,0.93539,0.97089,0.91967,0.3448,0.44606,0.27605,0.0084,0,0.0009308,0.0009308,0.0009308
83,6219.66,0.40745,0.45116,0.37537,0.00541,0.96306,0.93923,0.94395,0.97252,0.92766,0.9389,0.94363,0.97247,0.92568,0.32065,0.39001,0.267,0.0077,0,0.0009176,0.0009176,0.0009176
84,6294.09,0.40881,0.44308,0.37523,0.00542,0.98977,0.93661,0.92333,0.96746,0.91481,0.93713,0.92365,0.96765,0.91543,0.34442,0.41983,0.3199,0.00879,0,0.0009044,0.0009044,0.0009044
85,6368.68,0.39409,0.45206,0.37754,0.00526,0.96212,0.93323,0.9425,0.97223,0.91641,0.93399,0.9424,0.97231,0.91909,0.34847,0.43574,0.28244,0.00872,0,0.0008912,0.0008912,0.0008912
86,6443.38,0.396,0.45124,0.37614,0.0053,0.95475,0.94474,0.93112,0.97135,0.92885,0.94265,0.93275,0.97101,0.92381,0.31051,0.40722,0.27693,0.00735,0,0.000878,0.000878,0.000878
87,6518.29,0.39196,0.45124,0.36748,0.0052,0.95249,0.94496,0.93706,0.97214,0.92207,0.94463,0.93674,0.97203,0.92515,0.31813,0.38621,0.28367,0.00792,0,0.0008648,0.0008648,0.0008648
88,6592.58,0.38642,0.43155,0.35943,0.00514,0.90396,0.94487,0.9386,0.97301,0.9318,0.94487,0.9386,0.97237,0.92715,0.30215,0.40639,0.26071,0.00701,0,0.0008516,0.0008516,0.0008516
89,6666.9,0.38474,0.44054,0.36785,0.00509,0.93587,0.93523,0.92658,0.96926,0.91818,0.93523,0.92658,0.96905,0.92347,0.33268,0.38668,0.29368,0.00833,0,0.0008384,0.0008384,0.0008384
90,6741.65,0.39914,0.44108,0.37503,0.00536,0.92419,0.94573,0.9347,0.97268,0.92435,0.94563,0.9347,0.97158,0.92422,0.32031,0.40323,0.26584,0.00784,0,0.0008252,0.0008252,0.0008252
91,6816.15,0.38465,0.44451,0.3671,0.00505,0.92978,0.94291,0.94974,0.97395,0.93051,0.94226,0.94909,0.97268,0.92879,0.30576,0.40421,0.25042,0.00737,0,0.000812,0.000812,0.000812
92,6890.9,0.38215,0.42367,0.35957,0.00509,0.93228,0.92168,0.94347,0.96912,0.92068,0.92029,0.94217,0.96824,0.92298,0.32651,0.43006,0.28918,0.00796,0,0.0007988,0.0007988,0.0007988
93,6965.29,0.38642,0.44589,0.35844,0.0051,0.91117,0.93718,0.94639,0.97403,0.92653,0.93861,0.94377,0.97277,0.9261,0.31859,0.42235,0.2571,0.00785,0,0.0007856,0.0007856,0.0007856
94,7039.84,0.38613,0.43138,0.35972,0.00505,0.94178,0.92331,0.94662,0.97214,0.93164,0.92177,0.94549,0.97141,0.92888,0.31112,0.40362,0.27749,0.00733,0,0.0007724,0.0007724,0.0007724
95,7114.46,0.37934,0.42644,0.34663,0.00492,0.88403,0.93301,0.94112,0.97145,0.93149,0.93347,0.93907,0.97097,0.92677,0.29734,0.39719,0.27478,0.00698,0,0.0007592,0.0007592,0.0007592
96,7188.98,0.37746,0.44069,0.35104,0.00495,0.90014,0.93604,0.94141,0.97304,0.92757,0.93572,0.94109,0.97246,0.92655,0.31248,0.39164,0.27547,0.00752,0,0.000746,0.000746,0.000746
97,7263.21,0.38413,0.4414,0.36268,0.00514,0.88888,0.94174,0.94704,0.9757,0.94055,0.9414,0.94639,0.97519,0.93337,0.28793,0.41604,0.24695,0.00662,0,0.0007328,0.0007328,0.0007328
98,7337.51,0.37897,0.4272,0.35624,0.00508,0.91935,0.94068,0.94834,0.97513,0.93725,0.93889,0.94832,0.97379,0.93391,0.29333,0.40928,0.25092,0.00678,0,0.0007196,0.0007196,0.0007196
99,7412.08,0.37502,0.42807,0.34245,0.0049,0.84061,0.93917,0.94809,0.9745,0.93642,0.93901,0.94769,0.97436,0.92778,0.28545,0.47109,0.25519,0.00665,0,0.0007064,0.0007064,0.0007064
100,7486.59,0.36914,0.42696,0.34463,0.00475,0.84048,0.941,0.94303,0.97478,0.94053,0.94067,0.94271,0.97423,0.93287,0.27762,0.43619,0.25093,0.00646,0,0.0006932,0.0006932,0.0006932
101,7561.09,0.36176,0.40925,0.33894,0.00477,0.87132,0.94306,0.94314,0.97413,0.94026,0.94241,0.94055,0.97316,0.93163,0.28051,0.42644,0.25864,0.00645,0,0.00068,0.00068,0.00068
102,7635.65,0.36983,0.42242,0.3484,0.0049,0.85663,0.94507,0.94347,0.97609,0.93941,0.94341,0.94239,0.97467,0.93251,0.28291,0.42202,0.25364,0.00646,0,0.0006668,0.0006668,0.0006668
103,7709.76,0.37063,0.42116,0.34322,0.00477,0.86862,0.93275,0.94769,0.97343,0.93497,0.93066,0.95053,0.97282,0.93051,0.29352,0.43603,0.26767,0.00696,0,0.0006536,0.0006536,0.0006536
104,7784.12,0.37175,0.42087,0.34324,0.00483,0.84639,0.93317,0.95269,0.97426,0.93844,0.93305,0.95257,0.97419,0.93222,0.28277,0.43892,0.25756,0.00655,0,0.0006404,0.0006404,0.0006404
105,7858.81,0.37116,0.42818,0.33784,0.00491,0.82015,0.94531,0.94342,0.97426,0.93992,0.94493,0.94211,0.97375,0.93525,0.29205,0.39337,0.26463,0.0068,0,0.0006272,0.0006272,0.0006272
106,7933.05,0.36572,0.42363,0.33577,0.00483,0.84813,0.938,0.94857,0.97463,0.93981,0.93639,0.94694,0.9742,0.9335,0.28511,0.39017,0.26513,0.00662,0,0.000614,0.000614,0.000614
107,8007.31,0.36261,0.41996,0.33389,0.00466,0.85018,0.9435,0.94509,0.97443,0.93803,0.94253,0.94412,0.97399,0.93155,0.28557,0.47597,0.26332,0.00665,0,0.0006008,0.0006008,0.0006008
108,8081.86,0.36061,0.41465,0.32929,0.00465,0.81213,0.94631,0.94481,0.97458,0.93803,0.94554,0.94477,0.97432,0.93401,0.28853,0.51735,0.26047,0.00695,0,0.0005876,0.0005876,0.0005876
